letterId,number,year,recipient,requestCount,typeCode,typeName,collapsedPath,complexity,requestShare,serialRequest,firstRequestPosition,lastRequestPosition,postRequestContinuation,persuasionShare,informationShare,displayShare
128_1920_松崎鹤雄,128,1920,松崎鹤雄,1,C,先请后叙型,INF→PRS→REQ→PRS→INF,1.791759469228055,0.06666666666666667,0,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.4666666666666667,0.4666666666666667,0
130_0_石醉六,130,,石醉六,1,C,先请后叙型,INF→DSP→PRS→REQ→PRS,1.791759469228055,0.09090909090909091,0,0.5,0.5,0.5,0.7272727272727273,0.09090909090909091,0.09090909090909091
131_0_刘先端、黄郁文,131,,刘先端、黄郁文,8,B,论议收束型,INF→REQ→PRS→REQ→PRS→REQ→PRS→REQ→PRS→REQ→INF→REQ→INF,2.639057329615259,0.42105263157894735,0.2857142857142857,0.05555555555555555,0.9444444444444444,0.05555555555555555,0.42105263157894735,0.15789473684210525,0
132_0_皮锡瑞,132,,皮鹿门,3,B,论议收束型,PRS→REQ→PRS→REQ→PRS→INF→PRS→INF→REQ→PRS→INF→PRS,2.5649493574615367,0.16666666666666666,0,0.058823529411764705,0.7058823529411765,0.29411764705882354,0.6666666666666666,0.16666666666666666,0
135_0_俞恪士,135,,俞恪士,2,A,先叙后请型,INF→PRS→REQ→PRS→REQ→PRS,1.9459101490553132,0.15384615384615385,0,0.5,0.75,0.25,0.7692307692307693,0.07692307692307693,0
136_1906_缪荃孙,136,1906,缪荃孙,1,B,论议收束型,INF→PRS→INF→REQ,1.6094379124341003,0.125,0,1,1,0,0.375,0.5,0
137_1907_缪荃孙,137,1907,缪荃孙,1,A,先叙后请型,PRS→INF→PRS→INF→REQ→INF→DSP,2.0794415416798357,0.07142857142857142,0,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.14285714285714285,0.7142857142857143,0.07142857142857142
138_1907_缪荃孙,138,1907,缪荃孙,1,A,先叙后请型,INF→DSP→INF→REQ→DSP,1.791759469228055,0.2,0,0.75,0.75,0.25,0,0.4,0.4
139_1907_缪荃孙,139,1907,缪荃孙,2,D,连环请托型,INF→DSP→INF→PRS→INF→REQ,1.9459101490553132,0.25,1,0.8571428571428571,1,0,0.125,0.5,0.125
140_1907_缪荃孙,140,1907,缪荃孙,2,D,连环请托型,INF→REQ→PRS→DSP,1.6094379124341003,0.2857142857142857,1,0.5,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.14285714285714285
