书信ID,收信人,年份,路径类型,事务签名,时期
227_0_钱康荣,钱康荣,,连环请托型,书籍,年代不详
228_1894_钱康荣,钱康荣,1894,先请后叙型,政治＋社交,1911以前
229_1897_熊希龄,熊希龄,1897,论议收束型,学术＋政治＋社交,1911以前
230_1912_俞廉三,俞廉三,1912,连环请托型,书籍＋政治,1912—1918
233_1920_严家炽,严家炽,1920,论议收束型,政治＋社交,1919以后
235_1922_劭章,劭章,1922,先叙后请型,书籍＋家族,1919以后
236_1924_曹献廷,曹献廷,1924,先叙后请型,政治＋社交,1919以后
238_0_孙毓修,孙毓修,,先请后叙型,书籍＋社交,年代不详
239_1919_孙毓修,孙毓修,1919,先请后叙型,书籍＋社交,1919以后
240_1919_孙毓修,孙毓修,1919,论议收束型,书籍,1919以后
244_1920_孙毓修,孙毓修,1920,论议收束型,书籍＋家族＋社交,1919以后
245_1920_孙毓修,孙毓修,1920,论议收束型,书籍＋社交,1919以后
246_1920_孙毓修,孙毓修,1920,先请后叙型,书籍＋家族＋社交,1919以后
247_1920_孙毓修,孙毓修,1920,连环请托型,学术＋书籍＋社交,1919以后
248_1920_孙毓修,孙毓修,1920,先叙后请型,书籍＋社交,1919以后
251_1922_杨树达,杨树达,1922,连环请托型,学术＋政治,1919以后
252_1922_赵恒惕,赵恒惕,1922,先叙后请型,政治＋社交,1919以后
253_1922_赵恒惕,赵恒惕,1922,先叙后请型,政治＋社交,1919以后
254_0_杨树达,杨树达,,先请后叙型,学术,年代不详
257_0_杨树达,杨树达,,先叙后请型,社交,年代不详
258_0_杨树达,杨树达,,先叙后请型,社交,年代不详
265_1916_水野梅晓,水野梅晓,1916,论议收束型,社交,1912—1918
266_1916_水野梅晓,水野梅晓,1916,先叙后请型,情感＋书籍＋社交,1912—1918
269_0_陈夔,陈夔,,先叙后请型,政治＋社交,年代不详
270_0_孙毓修,孙毓修,,先叙后请型,学术＋书籍＋社交,年代不详
272_1915_北京政事堂_财政部_参政院_肃政厅,北京政事堂、财政部、参政院、肃政厅,1915,先叙后请型,政治＋社交,1912—1918
273_1915_北京筹安会杨皙子_孙少侯,北京筹安会杨皙子、孙少侯,1915,先叙后请型,政治＋社交,1912—1918
274_1923_大总统_国务院_内务部_参众两院_江苏同乡会,大总统、国务院、内务部、参众两院、江苏同乡会,1923,先叙后请型,政治＋社交,1919以后
278_1924_章太炎,章太炎,1924,先叙后请型,学术＋书籍,1919以后
280_1924_省议会,省议会,1924,先叙后请型,政治＋社交,1919以后
282_0_孙毓修,孙毓修,,先叙后请型,书籍＋社交,年代不详
283_0_孙毓修,孙毓修,,先请后叙型,学术＋书籍＋社交,年代不详
285_1920_商衍鎏,商衍鎏,1920,先叙后请型,书籍＋社交,1919以后
286_0_刘仲鲁,刘仲鲁,,连环请托型,政治＋社交,年代不详
288_1905_冯锡仁,冯锡仁,1905,先叙后请型,书籍＋社交,1911以前
289_1905_冯锡仁,冯锡仁,1905,先请后叙型,政治＋社交,1911以前
290_1906_冯锡仁,冯锡仁,1906,先请后叙型,政治＋社交,1911以前
293_1908_陶翁,陶翁,1908,先叙后请型,书籍＋社交,1911以前
294_1898_石醉六,石醉六,1898,先请后叙型,学术＋书籍,1911以前
295_1898_石醉六,石醉六,1898,先叙后请型,学术＋社交,1911以前
297_1925_叶恭绰,叶恭绰,1925,先请后叙型,家族＋社交,1919以后
300_1908_孙毓修,孙毓修,1908,先请后叙型,书籍＋社交,1911以前
301_0_孙毓修,孙毓修,,先叙后请型,书籍＋社交,年代不详
304_0_孙毓修,孙毓修,,先请后叙型,学术＋书籍,年代不详
